Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,Att34,Att35,Att36,Att37,Att38,Att39,Att40,Att41,Att42,Att43,Att44,Att45,Att46,Att47,Att48,Att49,Att50,Att51,Att52,Att53,Att54,Att55,Att56,Att57,Att58,Att59,Att60,Att61,Att62,Att63,Att64,Att65,Att66,Att67,Att68,Att69,Att70,Att71,Att72,Att73,Att74,Att75,Att76,Att77,Att78,Att79,Att80,Att81,Att82,Att83,Att84,Att85,Att86,Att87,Att88,Att89,Att90,Att91,Att92,Att93,Att94,Att95,Att96,Att97,Att98,Att99,Att100,Att101,Att102,Att103
0.066283,-0.003561,-0.013471,-0.015399,0.012677,-0.056479,0.015984,0.2106,0.096556,0.267577,-0.161842,0.209127,0.026221,0.127093,-0.039985,0.307003,0.136449,0.218066,-0.130561,-0.028153,0.150418,0.065014,0.021876,0.003436,0.189154,-0.062996,0.016599,0.164284,0.068797,0.071823,-0.131657,0.084859,-0.023342,-0.07887,-0.005374,-0.023029,-0.097101,0.004536,-0.081463,-0.16184,-0.009715,0.047595,-0.021639,0.098411,-0.066409,-0.090483,-0.048182,0.122452,-0.007534,0.077119,0.050546,0.062302,-0.018596,-0.141385,0.018803,-0.080819,-0.034837,0.059733,-0.089815,-0.124141,-0.141096,-0.012826,-0.008457,0.09845,-0.16939,-0.178964,-0.030995,-0.012356,-0.052755,-0.111325,0.065075,0.09798,0.008386,0.366123,0.017624,0.041451,0.001316,-0.141844,-0.115999,0.00447,-0.01517,-0.025149,-0.013098,-0.04595,0.00491,0.006347,-0.004508,-0.02508,-0.014931,-0.025806,-0.024382,0.000492,-0.024485,0.007874,-0.01442,-0.013801,-0.013259,-0.014129,-0.000842,-0.027236,-0.008329,0.028477,0.110066
0.082156,-0.016502,-0.113968,-0.11828,-0.044648,-0.052377,0.001619,0.044143,0.07588,0.029781,0.0415,0.024844,0.104552,0.185201,0.096425,0.099095,0.004017,0.034041,-0.111894,-0.050527,0.01659,0.174855,0.207326,0.153172,0.080734,0.010133,-0.091347,0.034018,-0.035029,-0.152891,-0.079555,-0.073143,0.188442,0.222155,0.215145,0.12739,0.100679,0.105444,0.077672,0.011198,0.054484,0.102759,0.088686,0.020708,0.004175,-0.011333,-0.001351,0.010436,-0.008668,0.058892,0.015851,0.057197,0.037349,-0.129716,0.018455,0.03258,-0.079316,-0.048343,-0.005076,-0.121647,-0.190729,-0.201642,-0.158331,-0.124147,-0.022,-0.032711,-0.183246,-0.165531,0.05176,-0.021455,-0.055806,0.117451,0.047911,0.031139,0.011627,-0.042745,-0.053721,-0.0907,-0.091309,-0.093661,0.07093,-0.028469,-0.155215,0.049277,-0.174035,-0.178053,0.021823,0.075211,0.093582,0.081803,0.073544,0.033087,0.047454,0.033205,0.062923,0.071324,-0.137343,-0.136259,0.081839,0.066159,-0.183844,0.147831,0.021792
0.142087,0.02327,0.085829,0.04344,0.099361,0.125936,0.077421,0.012134,0.025649,0.022062,0.065044,0.066805,0.121703,0.083789,0.086189,0.005962,0.059644,-0.002787,0.164973,-0.047736,0.032186,0.023283,-0.020331,0.04854,0.037328,-0.004228,-0.019382,-0.018744,0.023837,0.013783,-0.038384,-0.022273,0.110978,0.084299,0.102463,0.043014,0.072445,0.047094,0.111272,0.014549,-0.004867,0.060696,0.084094,0.006243,0.021044,0.081395,0.055526,0.056963,-0.199161,-0.170925,-0.16495,-0.210866,-0.196986,-0.007243,-0.02011,-0.085907,-0.16303,-0.11435,-0.027409,-0.0521,-0.079196,-0.073285,-0.058103,-0.073204,0.131795,0.05053,0.089808,0.178055,0.041946,-0.083781,0.029521,-0.037799,0.063303,0.017867,0.078753,0.221238,0.092305,0.015256,0.000168,-0.013889,-0.033294,0.052224,0.092052,-0.002184,-0.006418,-0.014581,0.068528,0.54798,-0.040237,-0.054168,-0.053698,-0.040648,-0.05457,-0.029344,-0.034964,-0.004194,-0.037833,-0.042526,-0.029667,-0.05522,-0.043732,0.157156,-0.159099
0.091939,0.123825,0.160357,0.122419,0.081694,0.121226,-0.006429,0.10493,0.039673,-0.01782,0.062314,0.098923,0.093648,0.131466,0.0223,0.100193,0.051855,0.093435,-0.054523,0.013831,0.167002,0.201873,0.131558,0.081338,0.087297,-0.071516,-0.071771,-0.008168,0.047983,-0.090935,-0.047581,-0.035384,-0.050971,-0.106176,-0.13388,0.010193,-0.051477,-0.068534,-0.026273,-0.050237,-0.080402,0.006083,-0.026444,-0.060361,0.014457,-0.006786,0.002604,0.041979,0.092642,-0.02184,-0.028055,0.036501,0.071037,0.083952,-0.052388,0.053792,-0.132747,-0.198098,0.026626,-0.032326,-0.000369,-0.015448,-0.02414,-0.022936,0.04321,-0.084761,-0.250714,-0.009323,0.088831,0.027348,0.042888,0.158381,0.116323,0.043164,0.099812,-0.01567,-0.107297,-0.162252,-0.128303,0.021999,0.259088,0.035057,-0.157128,0.013197,-0.002748,-0.004602,0.227283,0.12305,0.161662,-0.012627,-0.017836,-0.148259,0.262414,-0.146906,-0.015846,-0.019776,-0.07564,-0.035534,0.052461,0.009447,0.05309,-0.166349,-0.198905
0.001029,-0.050856,0.009497,0.011799,0.01067,-0.100271,-0.019101,-0.05029,-0.105156,-0.070164,-0.060164,-0.030967,-0.039756,0.002695,-0.039126,-0.114467,-0.124197,0.084669,0.028259,-0.105336,0.002848,-0.006237,0.064045,0.0523,0.003011,-0.084497,-0.125733,-0.094437,-0.010869,-0.206333,-0.337278,-0.098188,0.063899,0.075299,0.073546,-0.038102,-0.003235,-0.025596,0.035956,-0.033569,-0.055421,0.015451,-0.109213,-0.211634,-0.027714,-0.040011,-0.043677,-0.140884,0.180684,0.297955,0.245875,0.255089,0.210468,-0.258965,-0.037262,-0.139758,0.112823,0.231132,0.053208,-0.14447,0.067293,0.032879,-0.14908,-0.010164,-0.010217,0.00473,-0.136638,-0.02656,0.132754,0.062165,-0.007653,-0.000521,-0.097225,0.002973,-0.080301,-0.05302,-0.092789,-0.007293,-0.032269,-0.001242,-0.009253,-0.038789,-0.01348,-0.070645,0.016765,0.010929,-0.010253,-0.042071,-0.021644,-0.019562,-0.005104,-0.009366,-0.038175,0.020053,-0.026272,-0.024066,-0.006858,-0.013964,-0.015962,-0.031566,-0.016537,0.025692,0.148651
-0.079764,0.073578,-0.221816,0.07293,-0.088324,0.080109,0.045493,-0.00205,-0.06813,-0.044706,-0.062799,-0.006765,-0.173583,0.063253,-0.136756,-0.112818,-0.116036,0.083649,0.009175,0.094678,-0.049394,0.100125,-0.017212,0.025383,0.157493,-0.001301,-0.007788,-0.021596,0.05184,0.008308,0.008174,-0.019782,0.100049,0.030845,-0.032557,0.083225,0.134795,0.088181,-0.01275,-0.118696,-0.065666,0.145788,0.025088,0.059521,0.020315,-0.011877,-0.04068,-0.198991,-0.044413,-0.03618,-0.039821,-0.044865,-0.018076,-0.033326,-0.052891,-0.048542,-0.055079,-0.040606,-0.074457,0.014414,0.06206,0.183935,0.087063,0.18937,-0.191526,0.037836,-0.13091,-0.03038,0.024552,-0.054768,0.27665,0.284172,-0.065061,-0.094403,-0.116689,-0.150322,-0.186211,-0.060237,-0.002207,-0.072815,-0.09043,-0.088455,-0.024269,-0.009122,-0.052421,-0.01918,0.368963,-0.001196,0.097862,0.076147,-0.024218,0.017186,-0.078544,0.08495,-0.079823,-0.053486,-0.042437,-0.074462,-0.039212,0.092467,-0.084199,0.055236,0.040364
-0.071895,-0.088945,-0.093848,-0.010847,-0.073796,-0.016007,-0.07833,0.137039,-0.108882,0.223031,0.060707,-0.087785,-0.244141,0.188558,-0.001803,0.056331,-0.095976,0.119561,-0.029509,-0.026165,-0.077126,0.01963,-0.075309,-0.064651,0.036884,-0.20978,-0.017674,0.011633,-0.126339,0.006809,-0.152335,-0.084638,-0.038722,-0.033641,0.249838,-0.044736,-0.025144,-0.123298,-0.024739,-0.106936,-0.053207,-0.033301,-0.177939,0.017564,-0.086815,-0.127984,-0.13189,0.172203,0.032867,0.013509,0.000237,0.027186,0.0179,-0.003005,-0.010354,0.049928,-0.002371,0.051836,0.005736,0.015321,0.017343,0.238101,0.173423,0.230869,-0.173548,-0.048211,-0.107103,-0.065231,0.144981,-0.082627,0.195104,0.144424,0.021666,0.359019,-0.083877,0.018083,0.031286,-0.00092,-0.016436,-0.003189,-0.021398,-0.036942,-0.006581,-0.044456,0.004573,0.006148,-0.009909,-0.004724,-0.002055,-0.023073,-0.022458,-0.007709,-0.012498,-0.010383,-0.021504,-0.008146,-0.019328,-0.018892,0.001026,-0.0096,-0.019944,0.025216,0.108835
0.072493,0.038408,0.049454,0.078359,0.066371,0.093516,0.058029,0.054367,0.058643,0.005195,0.073716,-0.003335,0.087379,0.070642,0.152071,0.018701,0.098775,0.022719,-0.028474,0.096122,0.121545,0.097754,0.102311,0.136634,0.158444,0.146494,0.084409,0.090255,0.063105,0.075108,0.037174,0.035872,-0.013018,0.003579,0.022534,0.080272,0.135471,0.121975,0.101597,0.034205,0.029502,0.076683,0.100829,0.003691,0.0412,0.040868,0.037061,0.099218,-0.148533,-0.150803,-0.119457,-0.069382,-0.01439,0.027208,0.031734,0.164947,-0.203226,-0.189894,-0.016575,-0.050463,-0.211251,-0.140518,-0.065433,-0.094581,0.128312,-0.012623,0.019419,-0.036724,0.051741,-0.083452,-0.031938,-0.098314,0.051387,0.022902,-0.063964,0.003164,-0.008488,-0.126971,-0.158466,0.227928,0.175913,-0.073319,-0.049438,-0.118135,-0.027918,-0.047799,-0.046142,-0.086142,-0.071262,-0.104407,-0.101595,-0.058023,0.193017,-0.044079,0.202815,-0.108139,0.205054,0.198448,-0.093078,-0.103612,-0.094052,-0.046499,0.004084
0.049927,-0.07149,0.008488,-0.016598,-0.015192,-0.060098,-0.01925,0.008278,-0.04585,-0.115105,-0.134593,-0.084451,-0.119357,-0.066889,-0.098061,-0.058718,0.08986,-0.068154,0.042756,-0.064327,-0.07242,-0.10242,-0.044506,-0.159925,-0.143077,-0.030147,-0.103695,-0.188582,-0.240409,-0.122196,-0.07165,-0.192835,0.005692,-0.048633,0.0414,0.055896,0.037874,0.039828,0.056363,-0.010668,0.014459,0.028097,0.016539,0.078163,-0.087617,0.110237,0.054807,-0.084545,-0.059583,0.070432,0.240001,0.212273,0.145332,-0.131217,0.320012,0.139072,-0.064102,0.014965,-0.054986,-0.042176,-0.025973,0.100086,-0.008855,0.020932,0.025547,0.141472,-0.06455,0.007425,-0.010095,-0.035836,-0.020529,-0.110587,-0.013933,0.01827,-0.025191,-0.054847,0.028287,0.032684,0.029962,-0.12653,-0.002775,0.105487,0.118786,0.038925,0.067922,-0.102965,-0.185961,-0.135954,-0.069855,0.058761,0.092831,-0.032249,0.107973,-0.031648,0.034937,-0.001,0.131891,0.045003,-0.087976,-0.141912,0.270994,-0.134776,-0.021583
0.046888,-0.025937,0.049718,0.026342,0.001712,0.019799,0.029081,0.109421,0.002259,0.154368,0.149751,-0.114591,0.35783,-0.066749,-0.046921,0.000429,0.071256,0.062741,0.070307,0.055236,0.075714,0.156661,0.14609,0.088972,0.052475,-0.061234,-0.07281,-0.038202,-0.035782,-0.122694,-0.060376,0.000531,-0.024051,0.012234,0.168733,-0.060815,-0.073428,-0.00368,-0.118439,-0.026633,-0.051823,-0.071807,-0.097746,0.073765,-0.069447,-0.0808,-0.063429,0.073961,-0.003511,-0.036228,-0.042717,-0.041953,-0.047002,0.026701,0.023771,0.027096,0.031921,-0.034612,0.021079,-0.085773,0.032573,0.045382,-0.105274,0.087135,-0.141953,-0.046479,-0.119956,-0.076312,0.072621,0.029554,0.03952,0.227178,-0.081354,0.394745,-0.083977,-0.04737,-0.102536,-0.095948,-0.080623,0.132593,0.038995,0.149537,-0.029699,-0.050537,-0.031691,0.001429,-0.100317,-0.127365,-0.06209,0.02205,0.170868,0.012563,0.007105,0.186048,0.00038,-0.205415,0.089146,0.031069,-0.103177,-0.023988,0.108313,-0.157398,-0.004615
-0.074979,-0.16899,-0.067246,-0.166112,0.001987,-0.062509,-0.104268,-0.172918,-0.071305,-0.066364,0.209792,0.14388,-0.004799,0.009032,0.026158,0.090001,-0.241343,-0.107672,-0.072479,-0.033973,-0.09298,-0.045118,-0.04741,-0.027618,-0.010456,-0.011436,-0.005234,-0.007189,-0.06692,0.050595,0.087316,-0.025562,0.034833,0.014584,0.015819,-0.010359,0.039319,0.023136,-0.002543,-0.066313,0.026952,0.057977,-0.06262,0.162172,0.068272,-0.056368,-0.040701,-0.153845,0.138051,0.023106,0.071642,0.070559,0.047522,-0.112188,-0.124745,-0.213278,0.185359,0.185274,-0.0289,0.038238,0.003452,0.037465,-0.019895,-0.085199,-0.02014,-0.118699,-0.059223,0.05299,0.036349,-0.014005,-0.028116,0.027081,0.078245,0.11249,0.01222,0.050466,-0.031866,0.056502,-0.046739,-0.026588,-0.016856,0.460622,0.019243,0.065023,-0.089937,0.007514,-0.122746,-0.117452,-0.077501,0.009232,-0.018376,0.022046,-0.016012,0.151399,-0.108415,-0.114624,0.15524,0.08441,0.05189,-0.070261,0.126741,-0.117307,-0.093909
0.054845,-0.031178,0.108749,0.021861,-0.007977,-0.043245,0.087397,0.128068,0.106139,0.256884,0.040437,0.20167,0.111863,0.187953,0.09871,0.228377,0.076962,0.185449,-0.124731,0.07043,0.006553,0.174525,0.126133,0.149243,0.139516,0.162095,0.139685,0.127689,0.045029,0.060581,0.172248,0.112452,0.001725,0.002982,0.020644,0.050746,0.024365,0.008072,-0.001345,-0.045384,0.02661,0.05987,0.05475,0.099207,-0.015234,-0.025857,-0.011668,0.185039,-0.123032,-0.127861,-0.140596,-0.050004,-0.055329,0.052146,-0.032178,0.132259,-0.163914,-0.202623,0.073727,0.027962,-0.040137,-0.133724,-0.052284,-0.207298,0.136782,0.030335,0.083954,-0.093621,0.071335,-0.057651,-0.125455,-0.122063,0.106375,0.023535,-0.0404,-0.058212,-0.100361,-0.164341,-0.178333,0.003192,0.023957,-0.049371,-0.034986,-0.048762,-0.007743,0.018032,0.008629,-0.028171,-0.01946,-0.02409,-0.031469,-0.014684,-0.016745,-0.016317,-0.012552,-0.023517,0.017798,-0.02757,-0.020223,-0.046084,0.012586,0.018192,0.134711
0.063951,0.048442,0.091046,-0.070621,-0.11235,-0.14164,0.063101,-0.012318,0.014792,-0.071431,-0.01678,-0.007229,-0.031802,-0.103092,-0.011967,-0.08159,-0.588576,-0.091547,0.130379,0.017254,0.003646,-0.012957,-0.087436,-0.076044,-0.133681,-0.099947,-0.090395,-0.125082,-0.009475,0.045088,0.005086,0.073996,-0.026476,-0.039556,-0.027308,-0.030621,0.043986,0.07519,0.104555,0.032204,0.004372,0.054673,0.053256,0.116368,0.133627,0.166269,0.185088,-0.085704,-0.027298,-0.028539,-0.017459,-0.106377,-0.168272,-0.063938,0.021767,-0.124235,0.001351,0.0701,0.062314,0.029963,0.148578,-0.026187,0.036326,0.044023,0.115577,0.108837,0.156533,0.207259,0.077927,0.031146,0.024098,-0.097888,-0.068212,-0.191049,-0.165583,-0.13491,0.043721,0.114623,-0.004123,-0.005613,-0.029936,-0.046177,-0.024127,-0.061451,-0.01452,-0.012787,0.000835,-0.006091,-0.024311,-0.014633,-0.047028,0.045412,-0.026971,0.041195,-0.013001,-0.026381,-0.015679,-0.03013,-0.010967,-0.006252,0.010096,0.076201,0.109705
